"size_bits","prime"
"5","37"
"5","41"
"5","43"
"5","47"
"5","53"
"5","59"
"5","61"
"6","67"
"6","71"
"6","73"
"6","79"
"6","83"
"6","89"
"6","97"
"6","101"
"6","103"
"6","107"
"6","109"
"6","113"
"6","127"
"7","131"
"7","137"
"7","139"
"7","149"
"7","151"
"7","157"
"7","163"
"7","167"
"7","173"
"7","179"
"7","181"
"7","191"
"7","193"
"7","197"
"7","199"
"7","211"
"7","223"
"7","227"
"7","229"
"7","233"
"7","239"
"7","241"
"7","251"
"8","257"
"8","263"
"8","269"
"8","271"
"8","277"
"8","281"
"8","283"
"8","293"
"8","307"
"8","311"
"8","313"
"8","317"
"8","331"
"8","337"
"8","347"
"8","349"
"8","353"
"8","359"
"8","367"
"8","373"
"8","379"
"8","383"
"8","389"
"8","397"
"8","401"
"8","409"
"8","419"
"8","421"
"8","431"
"8","433"
"8","439"
"8","443"
"8","449"
"8","457"
"8","461"
"8","463"
"8","467"
"8","479"
"8","487"
"8","491"
"8","499"
"8","503"
"8","509"
"9","521"
"9","523"
"9","541"
"9","547"
"9","557"
"9","563"
"9","569"
"9","571"
"9","577"
"9","587"
"9","593"
"9","599"
"9","601"
"9","607"
"9","613"
"9","617"
"9","619"
"9","631"
"9","641"
"9","643"
"9","647"
"9","653"
"9","659"
"9","661"
"9","673"
"9","677"
"9","683"
"9","691"
"9","701"
"9","709"
"9","719"
"9","727"
"9","733"
"9","739"
"9","743"
"9","751"
"9","757"
"9","761"
"9","769"
"9","773"
"9","787"
"9","797"
"9","809"
"9","811"
"9","821"
"9","823"
"9","827"
"9","829"
"9","839"
"9","853"
"9","857"
"9","859"
"9","863"
"9","877"
"9","881"
"9","883"
"9","887"
"9","907"
"9","911"
"9","919"
"9","929"
"9","937"
"9","941"
"9","947"
"9","953"
"9","967"
"9","971"
"9","977"
"9","983"
"9","991"
"9","997"
"9","1009"
"9","1013"
"9","1019"
"9","1021"
"10","1031"
"10","1033"
"10","1039"
"10","1049"
"10","1051"
"10","1061"
"10","1063"
"10","1069"
"10","1087"
"10","1091"
"10","1093"
"10","1097"
"10","1103"
"10","1109"
"10","1117"
"10","1123"
"10","1129"
"10","1151"
"10","1153"
"10","1163"
"10","1171"
"10","1181"
"10","1187"
"10","1193"
"10","1201"
"10","1213"
"10","1217"
"10","1223"
"10","1229"
"10","1231"
"10","1237"
"10","1249"
"10","1259"
"10","1277"
"10","1279"
"10","1283"
"10","1289"
"10","1291"
"10","1297"
"10","1301"
"10","1303"
"10","1307"
"10","1319"
"10","1321"
"10","1327"
"10","1361"
"10","1367"
"10","1373"
"10","1381"
"10","1399"
"10","1409"
"10","1423"
"10","1427"
"10","1429"
"10","1433"
"10","1439"
"10","1447"
"10","1451"
"10","1453"
"10","1459"
"10","1471"
"10","1481"
"10","1483"
"10","1487"
"10","1489"
"10","1493"
"10","1499"
"10","1511"
"10","1523"
"10","1531"
"10","1543"
"10","1549"
"10","1553"
"10","1559"
"10","1567"
"10","1571"
"10","1579"
"10","1583"
"10","1597"
"10","1601"
"10","1607"
"10","1609"
"10","1613"
"10","1619"
"10","1621"
"10","1627"
"10","1637"
"10","1657"
"10","1663"
"10","1667"
"10","1669"
"10","1693"
"10","1697"
"10","1699"
"10","1709"
"10","1721"
"10","1723"
"10","1733"
"10","1741"
"10","1747"
"10","1753"
"10","1759"
"10","1777"
"10","1783"
"10","1787"
"10","1789"
"10","1801"
"10","1811"
"10","1823"
"10","1831"
"10","1847"
"10","1861"
"10","1867"
"10","1871"
"10","1873"
"10","1877"
"10","1879"
"10","1889"
"10","1901"
"10","1907"
"10","1913"
"10","1931"
"10","1933"
